medicine_name,category,current_stock,avg_monthly_sales,unit_price,days_until_expiry,store_id,will_expire_unused
MED-0585-UX,Antiseptics,353,16,147.74,50,Store_C,1
MED-2361-QS,Analgesics,471,76,94.55,402,Store_D,0
MED-8429-YT,Antipyretics,154,54,194.13,521,Store_B,0
MED-4931-MS,Analgesics,196,22,125.41,343,Store_B,0
MED-6481-XP,Supplements,240,90,61.79,88,Store_C,0
MED-5977-ZB,Analgesics,480,16,93.93,716,Store_B,1
MED-5148-QR,Antipyretics,368,56,196.73,534,Store_C,0
MED-3831-DL,Supplements,311,136,38.25,196,Store_B,0
MED-4682-CR,Antiseptics,93,61,114.84,375,Store_A,0
MED-1340-OU,Analgesics,344,93,90.83,484,Store_D,0
MED-7832-GZ,Supplements,268,36,182.32,591,Store_D,0
MED-3571-RP,Antiseptics,6,135,45.55,506,Store_C,0
MED-7228-EC,Analgesics,222,45,188.2,299,Store_C,0
MED-3299-NR,Antiseptics,194,41,169.68,367,Store_C,0
MED-9461-DO,Supplements,284,125,58.82,186,Store_C,0
MED-9584-SE,Supplements,69,90,197.44,373,Store_A,0
MED-5155-KN,Antiseptics,140,64,164.01,622,Store_D,0
MED-7876-PJ,Antipyretics,423,34,123.16,519,Store_C,0
MED-0520-CQ,Analgesics,45,29,173.31,62,Store_D,0
MED-4394-FV,Supplements,103,105,58.57,576,Store_A,0
MED-5170-PY,Antipyretics,105,132,153.35,247,Store_C,0
MED-3942-VB,Antipyretics,397,16,26.62,490,Store_C,1
MED-3782-KA,Antibiotics,56,97,140.63,514,Store_C,0
MED-4712-SV,Supplements,147,30,49.62,189,Store_C,0
MED-3993-FL,Antipyretics,247,87,176.69,711,Store_A,0
MED-4542-FW,Antibiotics,138,29,161.72,585,Store_D,0
MED-4180-JP,Antipyretics,132,93,74.48,219,Store_A,0
MED-1688-KL,Antibiotics,381,28,88.29,657,Store_A,0
MED-1886-GU,Antibiotics,263,104,37.11,440,Store_A,0
MED-9265-EX,Supplements,229,52,57.54,693,Store_C,0
MED-8004-JH,Antipyretics,378,97,113.83,721,Store_A,0
MED-7819-KF,Antibiotics,446,53,53.14,415,Store_C,0
MED-6066-XM,Antibiotics,105,114,199.56,728,Store_A,0
MED-7249-CD,Analgesics,134,55,11.44,254,Store_A,0
MED-4714-GU,Antipyretics,130,131,108.53,701,Store_B,0
MED-6312-AA,Antiseptics,443,124,52.22,323,Store_D,0
MED-5980-MW,Supplements,376,99,128.54,540,Store_D,0
MED-1216-MP,Antibiotics,205,125,104.1,493,Store_A,0
MED-1468-OT,Antipyretics,152,148,143.67,540,Store_C,0
MED-2112-JB,Antiseptics,356,53,188.4,669,Store_C,0
MED-1073-XD,Analgesics,364,130,136.76,502,Store_B,0
MED-0259-IP,Analgesics,103,8,133.7,375,Store_D,0
MED-0345-MB,Antibiotics,64,114,52.16,333,Store_B,0
MED-9118-ZR,Antiseptics,457,38,177.11,38,Store_A,1
MED-7931-VV,Antipyretics,151,49,170.1,433,Store_D,0
